Name,handle,verified,url,url_redirect,whois_country,user_claimed_country,twitter_verified_country,followers
skymeds store | Online Ivermectin Pharmacy,@skymeds_store,YES,https://t.co/MTc0xtfyVK,http://skymeds.store,CA,USA,India,43435
Ivermectin Shop | Ivermectincure,"@""_Ivermectincure""",YES,https://t.co/eFtbmaYUSb,https://ivermectincure.us/product/ivermectin-12mg-online/,Unknown (Privacy Protected),India,India,15584
Ivermectin | Cancer Cure Online,@Ivermectin_net,YES,https://t.co/qEnKYpj3r6,http://www.ivermectincure.net,LT,USA,India,12950
24Medico.com,@24Medico__,NO,https://t.co/btIy9aNhBY,http://24Medico.com,IN,,,6599
APOTHEKE STORE.COM,@Apotheke_Store2,YES,https://t.co/XGqS9bDLO4,https://apothekestore.com/,Unknown (Privacy Protected),United States,India,6406
Ivermectin For Sale,@_GetIvermectin_,YES,https://t.co/CpexipoXoI,https://ivermectincure.us/product/ivermectin-12mg-online/,Unknown (Privacy Protected),USA,India,5593
Ivermectin | Ziverdo Kit | Aspadol Store,@MedsNest,YES,https://t.co/TDJj9816cK,https://www.medsnest.com/,IN,India,India,5543
Get Ivermectin,@getivermectins,YES,https://t.co/0PLALdOsw9,http://getivermectins.com,IS,United States,India,5285
Ivermectin | Fenbendazole Shop,@Buy_Ivermectin1,YES,https://t.co/DfYha8ANvc,http://buyivermectin.online,US,India,India,5250
Ziverdo Kit Store | Online Ivermectin Shop,@ziverdo,NO,https://t.co/U3MVaYRaTQ,No Redirect (Empty/Inaccessible),N/A,India,India,4747
GENIX MEDS,@genixmeds,YES,https://t.co/0skRTB1XpI,http://Genixmeds.com,US,,India,3923
ivermectin4sale.us,@ivermectin624,YES,https://t.co/pa4z3YjY8r,http://ivermectin4sale.us,Unknown (Privacy Protected),mumbai,India,3547
IVERMECTIN TABLET,@IvermectinT,NO,https://t.co/9FQSQBWhRi,https://buycheapmedicine.com/,IS,,India,3357
PharmacyinUSA.com,@pharmacyinusa,YES,https://t.co/HWQatV9O3c,http://PharmacyinUSA.com,IN,,India,2851
Ivermectin supplier | Buy Ivermectin Online |,@_ivermectin_,YES,https://t.co/9uODSw9JNG,https://buyivermectinforsale.us/product/buy-ivermectin-12mg/,India,India,India,2767
Buy Ivermectin | Mebendazole | Aspadol Store,@ivermectinOTC,NO,https://t.co/fabiYOK7ej,http://24medico.com,IN,India,United States,2662
buy ivermectin for humans,@Buyivmforhumans,YES,https://t.co/ZsPucEWBxA,https://buyivermectin4humans.us/,Unknown (Privacy Protected),United State,India,2127
Buy Ivermectin | HCQ | Azee | 🇬🇧🇺🇸🇦🇺🇯🇵🇫🇷,@ivermectinsale2,YES,https://t.co/xgmP2vrmjQ,https://ivermectinseller.com/,Unknown (Privacy Protected),,India,2083
The Medicine Villa | Cancer & Ivermectin Care,@Medicine_Villa,YES,https://t.co/cszxMEsYYL,https://www.themedicinevilla.com/,LT,United States,India,2002
Ivermectin Supplier,@Getivermectin_,YES,https://t.co/SbFgZsjj1f,http://ivermectinsupplier.us,India,India,India,1924
IVERMECTIN24.US,@Ivermectin_24us,YES,https://t.co/f2PIm8mWjD,https://ivermectin24.us,IN,Mumbai,India,1496
Ivermectin supplier | Buyivermectin24 | ivermectin,@buyivermectine,NO,https://t.co/bIk59asOu8,http://buyivermectin24.net,Turks and Caicos Islands,United States,India,1358
stock ivermectin,@IvermectinStock,YES,https://t.co/42YtIgQuNw,http://ivermectin-supplier.com,LT,India,India,1064
Ivermectin Shop,@Getivermectin89,YES,https://t.co/cvvrO8Bg14,https://buyivermectin.uk/,Unknown (Privacy Protected),India,India,964
Ivermectin For Sale,@TakeIvermectin,NO,https://t.co/dFLuex786O,https://ivermectinseller.com/,Unknown (Privacy Protected),USA,India,758
Buy Ivermectin Uk,@BuyIvermectinRx,YES,https://t.co/Jj6FoW4cu4,https://buyivermectin.uk,Unknown (Privacy Protected),,India,704
Buy Ivermectin | HCQS | Azithromycin in USA,@ziverdokits,NO,https://t.co/DeePLK5aRD,http://ivermectin4sale.uk,Unknown (Privacy Protected),India,,696
Buy ivermectin Online (Ivermectin Shop),@ivermectin_web,NO,https://t.co/dnTEFO2UN1,http://buyivermectin24.net,Turks and Caicos Islands,United States,,687
